ID1,ID2,EdgeType,Score,Annotation
2437,2442,MS1 annotation,2,[2M+2H]+2 [M+Na]+ dm/z=21.98192
2462,2463,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.98196
2462,2464,MS1 annotation,3,[2M+Na]+ [M+H]+ dm/z=332.05629
2489,2494,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98191
2489,2494,MS1 annotation,2,[M+Na]+ [2M+2H]+2 dm/z=21.98191
2524,2526,MS1 annotation,2,[M+NH4]+ [M-H2O+H]+ dm/z=35.03727
2524,2526,MS1 annotation,2,[M+NH4]+ [2M-2H2O+2H]+2 dm/z=35.03727
2611,2620,MS1 annotation,2,[M+Na]+ [M+NH4]+ dm/z=4.95545
2671,2673,MS1 annotation,2,[2M+2H]+2 [M+NH4]+ dm/z=17.02655
2678,2681,MS1 annotation,2,[M+NH4]+ [M+Na]+ dm/z=4.95529
2759,2801,MS1 annotation,4,[M+NH4]+ [M+Na]+ dm/z=4.95549
2770,2815,MS1 annotation,2,[2M+2H]+2 [M+Na]+ dm/z=21.98202
2776,2801,MS1 annotation,4,[M+NH4]+ [M-H2O+H]+ dm/z=35.03726
2776,2801,MS1 annotation,4,[M+NH4]+ [2M-2H2O+2H]+2 dm/z=35.03726
2792,2801,MS1 annotation,4,[M+NH4]+ [M+H]+ dm/z=17.02659
2792,2801,MS1 annotation,4,[M+NH4]+ [2M+2H]+2 dm/z=17.02659
2829,2832,MS1 annotation,2,[M+Na]+ [M+NH4]+ dm/z=4.9553
2830,2837,MS1 annotation,2,[M+Na]+ [M-H2O+H]+ dm/z=39.99263
2830,2837,MS1 annotation,2,[M+Na]+ [2M-2H2O+2H]+2 dm/z=39.99263
2849,2976,MS1 annotation,3,[M-2H2O+H]+ [M+Na]+ dm/z=58.00352
2872,2876,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98198
2872,2876,MS1 annotation,2,[M+Na]+ [2M+2H]+2 dm/z=21.98198
2878,2880,MS1 annotation,3,[2M+2H]+2 [M+Na]+ dm/z=21.98191
2878,2879,MS1 annotation,3,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.99254
2890,3000,MS1 annotation,2,[M+Na]+ [M-H2O+H]+ dm/z=39.99288
2890,3000,MS1 annotation,2,[M+Na]+ [2M-2H2O+2H]+2 dm/z=39.99288
2910,3005,MS1 annotation,2,[2M+H]+ [M+NH4]+ dm/z=391.26209
2922,2953,MS1 annotation,2,[M+NH4]+ [M+Na]+ dm/z=4.95536
2926,3074,MS1 annotation,7,[2M-2H2O+2H]+2 [M+NH4]+ dm/z=35.03701
2926,3072,MS1 annotation,7,[2M+Na]+ [M+NH4]+ dm/z=411.22841
2926,3090,MS1 annotation,7,[2M+2H]+2 [M+NH4]+ dm/z=17.02657
2926,3066,MS1 annotation,7,[M-3H2O+H]+ [M+NH4]+ dm/z=71.05797
2976,2981,MS1 annotation,3,[M+NH4]+ [M-2H2O+H]+ dm/z=53.04798
3066,3072,MS1 annotation,7,[2M+Na]+ [M-3H2O+H]+ dm/z=482.28638
3066,3070,MS1 annotation,7,[2M+NH4]+ [M-3H2O+H]+ dm/z=477.33114
3068,3084,MS1 annotation,2,[2M+2H]+2 [M+NH4]+ dm/z=17.02647
3070,3074,MS1 annotation,7,[M-H2O+H]+ [2M+NH4]+ dm/z=441.31018
3070,3090,MS1 annotation,7,[M+H]+ [2M+NH4]+ dm/z=423.29974
3072,3074,MS1 annotation,7,[M-H2O+H]+ [2M+Na]+ dm/z=446.26542
3072,3090,MS1 annotation,7,[M+H]+ [2M+Na]+ dm/z=428.25498
3074,3110,MS1 annotation,7,[M+Na]+ [M-H2O+H]+ dm/z=39.99246
3074,3110,MS1 annotation,7,[M+Na]+ [2M-2H2O+2H]+2 dm/z=39.99246
3112,3113,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.9821
3113,3114,MS1 annotation,3,[M-H2O+H]+ [M+Na]+ dm/z=39.99254
3159,3161,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98196
3159,3161,MS1 annotation,2,[M+Na]+ [2M+2H]+2 dm/z=21.98196
3162,3188,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.98206
3162,3188,MS1 annotation,3,[M+Na]+ [2M+2H]+2 dm/z=21.98206
3188,3200,MS1 annotation,3,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.99277
3254,3268,MS1 annotation,5,[M+NH4]+ [2M+Na]+ dm/z=413.24381
3254,3270,MS1 annotation,5,[M-3H2O+H]+ [2M+Na]+ dm/z=484.30211
3254,3267,MS1 annotation,5,[M-2H2O+H]+ [2M+Na]+ dm/z=466.29146
3267,3268,MS1 annotation,5,[M+NH4]+ [M-2H2O+H]+ dm/z=53.04765
3268,3269,MS1 annotation,5,[2M+H]+ [M+NH4]+ dm/z=391.26193
3275,3278,MS1 annotation,3,[M+H]+ [M+Na]+ dm/z=21.98203
3275,3276,MS1 annotation,3,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.9926
3306,3335,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98187
3306,3335,MS1 annotation,2,[M+Na]+ [2M+2H]+2 dm/z=21.98187
3343,3351,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.9822
3343,3351,MS1 annotation,2,[M+Na]+ [2M+2H]+2 dm/z=21.9822
3368,3370,MS1 annotation,2,[M+NH4]+ [M+H]+ dm/z=17.02667
3368,3370,MS1 annotation,2,[M+NH4]+ [2M+2H]+2 dm/z=17.02667
3395,3399,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98208
3417,3425,MS1 annotation,2,[M+NH4]+ [M+Na]+ dm/z=4.95544
3447,3448,MS1 annotation,2,[M+Na]+ [M+NH4]+ dm/z=4.95511
3454,3464,MS1 annotation,2,[2M+2H]+2 [M+Na]+ dm/z=21.98229
3512,3514,MS1 annotation,2,[2M+2H]+2 [M+Na]+ dm/z=21.98185
3526,3529,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.982
3526,3529,MS1 annotation,2,[M+Na]+ [2M+2H]+2 dm/z=21.982
3531,3532,MS1 annotation,2,[M+H]+ [M+NH4]+ dm/z=17.02724
3546,3569,MS1 annotation,3,[2M-2H2O+2H]+2 [M+NH4]+ dm/z=35.03719
3546,3560,MS1 annotation,3,[M+Na]+ [M+NH4]+ dm/z=4.95537
3547,3554,MS1 annotation,6,[M-H2O+H]+ [2M+NH4]+ dm/z=425.31516
3547,3553,MS1 annotation,6,[M+Na]+ [2M+NH4]+ dm/z=385.32268
3547,3552,MS1 annotation,6,[M+H]+ [2M+NH4]+ dm/z=407.30471
3549,3555,MS1 annotation,6,[M+NH4]+ [2M+Na]+ dm/z=395.23334
3549,3554,MS1 annotation,6,[M-H2O+H]+ [2M+Na]+ dm/z=430.27043
3549,3552,MS1 annotation,6,[M+H]+ [2M+Na]+ dm/z=412.25998
3552,3555,MS1 annotation,6,[M+NH4]+ [M+H]+ dm/z=17.02665
3552,3553,MS1 annotation,6,[M+Na]+ [M+H]+ dm/z=21.98203
3552,3555,MS1 annotation,6,[M+NH4]+ [2M+2H]+2 dm/z=17.02665
3552,3553,MS1 annotation,6,[M+Na]+ [2M+2H]+2 dm/z=21.98203
3553,3555,MS1 annotation,6,[M+NH4]+ [M+Na]+ dm/z=4.95538
3553,3554,MS1 annotation,6,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.99247
3554,3555,MS1 annotation,6,[M+NH4]+ [M-H2O+H]+ dm/z=35.03709
3554,3555,MS1 annotation,6,[M+NH4]+ [2M-2H2O+2H]+2 dm/z=35.03709
3560,3569,MS1 annotation,3,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.99256
3589,3597,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.98219
3589,3594,MS1 annotation,3,[M+NH4]+ [M+H]+ dm/z=17.02655
3589,3597,MS1 annotation,3,[M+Na]+ [2M+2H]+2 dm/z=21.98219
3589,3594,MS1 annotation,3,[M+NH4]+ [2M+2H]+2 dm/z=17.02655
3594,3597,MS1 annotation,3,[M+Na]+ [M+NH4]+ dm/z=4.95564
3620,3626,MS1 annotation,2,[M+NH4]+ [M-H2O+H]+ dm/z=35.0372
3620,3626,MS1 annotation,2,[M+NH4]+ [2M-2H2O+2H]+2 dm/z=35.0372
3633,3637,MS1 annotation,4,[M+H]+ [M+K]+ dm/z=37.95579
